RefID,Author,Title,Abstract,Reason,Labels,"Response Sets",Attachments
540,"Fischer, Stefanie Jane","Essays on Human and Social Capital Accumulation","This dissertation consists of three essays in applied microeconomics that address topics of human and social capital accumulation. The first essay addresses the topic of women and STEM (science, technology, engineering and math.) Women are substantially less likely than men to graduate college with a STEM degree. This paper investigates whether class composition can help explain why women are disproportionately more likely to fall out of the STEM ""pipeline''. Identification comes from a standardized enrollment process at a large public university that randomly assigns freshmen to different mandatory introductory chemistry lectures. Using administrative data, I find that women who are enrolled in a class with higher ability peers are less likely to graduate with a STEM degree, while men's persistence in STEM is unaffected by class composition. I also show that the decline for women is most pronounced for those in the bottom third of the ability distribution. I rule out the possibility that this is driven solely by grades because both men and women receive higher grades in classes with higher ability peers. Overall, these results suggest that class composition as an important factor in determining STEM persistence for women and provide a novel explanation for part of the STEM gender gap in post-secondary education.   The second essay, co-authored with Daniel Argyle, examines the effect of the four-day school week in rural Colorado on juvenile crimes. Four-day school weeks are becoming more common nationwide especially in rural areas. Those affected by the policy spend the same number of hours in school each week as students on a typical five-day week, however the four-day week schedule essentially reallocates unstructured time into larger blocks creating a three-day weekend every weekend, since treated students for the most part have Fridays off. Our difference-in-difference estimates for rural Colorado indicate that switching all students in a county from a five-day week to a four-day week increases juvenile arrests for property crimes, in particular larceny, by about 80%.   In the third essay, co-authored with Christiana Stoddard, we study the academic achievement of American Indians. The academic achievement of American Indians has not been extensively studied. Using NAEP supplements, we find that the average achievement relative to white students resembles other disadvantaged groups. However, there are several differences. Family characteristics explain two times as much of the raw gap as for blacks. School factors also account for a larger portion of the gap than for blacks or Hispanics. The distribution is also strikingly different: low performing American Indian students have a substantially larger gap than high performing students. Finally, racial self-identification is more strongly related to achievement, especially as American Indian students age.","[mass quarantine] duplicate of 151","Initial Full Search",,
545,"Henton, Deborah M","The Four-Day School Week","Community members and staff were clamoring for leadership to protect the schools from a spate of annual teacher layoffs that would dramatically drive up class size and place more duties on an already greatly reduced and exhausted staff.  Moving to a four-day week created concerns about child care, unsupervised teenagers, the extended length of the day, less class time and even fear that students' work ethic would be eroded by attending school less.  [...]the new schedule was approved by a 3-2 vote, but celebration was tempered by the monumental work in front of us to prepare our schools and families for the change - and the national attention we suddenly received as a result of the decision.","duplicate of 147","Initial Full Search",,
547,"Rosenberg, Merri","What Math Says About Four-Day Week Savings","The general assumption administrators make is that on the fifth day the school will be completely closed,"" says Michael Griffith, a senior policy analyst at the Education Commission of the States in Denver and author of a 2011 study, ""What Savings Are Produced by Moving to a Four-Day School Week?"" (www.ecs.org/clearing house/93/69/9369.pdf).  [...]six districts that had made the move or were in the process of doing so, real savings in operating costs ranged from 0.4 percent in North Branch, Minn., to 2.5 percent in Bisbee.","[mass quarantine] duplicate of 122","Initial Full Search",,
567,"Hanson, Charles M., II","Superintendent perceptions of professional development quality in South Dakota school districts implementing a four-day school calendar","School district calendars built around a four-day week have been in existence for decades.  Early research cited savings in energy and transportation costs prompting the increase in schools adopting the four-day week.  In recent years, studies have focused on the instructional benefits of making the switch from a five-day to four-day school week.   Effective use of time as an instructional resource plays a meaningful role in educational leadership activities of school district superintendents.       This multisite case study sought to describe the perceptions of 10 South Dakota superintendents employed in school districts using a four-day calendar regarding the quality of their professional development programs.  Data were collected using a semi-structured interview based on the McREL Professional Development Audit.  Additional data gathered by the researcher included school district demographics, professional development planning documents, school calendars, and district websites.     Superintendents believed the four-day school week calendar provided the time to make a positive impact on the vision and goals, planning, design, resources, and evaluation components of a high quality professional development program.  The study supported current research that district planners should provide professional development time that is organized, structured, and purposefully driven.  Common themes among respondents included (a) articulate and set as a strategic goal during the calendar adoption process the importance of implementing a high quality professional development program for teachers and set specific dates within the calendar assigned for professional development (b) incorporate student remedial activities into the calendar (c) provide fiscal resources to support the professional development program, and (d)  demonstrate effective administrative leadership to ensure fidelity in the design and implementation of the district's professional development program.","[mass quarantine] duplicate of 3019","Initial Full Search",,
569,"Tharp, Timothy W.","A comparison of student achievement in rural schools with four and five day weeks","The purpose of this non-experimental, quantitative, causal comparative study was to examine the relationship between student achievement scores on the Montana statewide standardized assessment (MontCAS) from schools that use a four day school week in Montana to student achievement scores on the MontCAS from schools across the state of Montana that follow a traditional five day school week. The MontCAS is the standardized assessment in reading, mathematics, and science adopted by the Montana Office of Public Instruction as a result of mandates from the No Child Left Behind Act of 2001.    In the spring of 2005, the Montana Legislature approved changes to the accreditation standards in Montana by allowing a school to be accredited based upon a total number of contact hours instead of the previous requirement of a minimum number of contact hours and a minimum number of days of instruction. Ten schools made the conversion to a four day week beginning in the 2006-2007 school year. By 2008-2009 there were 22 schools following a four day week calendar and over the next several years, this number doubled every two years. By the 2012-2013 school year, there were over 100 schools in Montana with a four day week.    Data was provided by the Montana Office of Public Instruction on every student from every school in Montana that utilized the four day school week from implementation through the 2012-2013 school year. This data was analyzed by cohort based upon the year of implementation of the four day week in addition to being considered in the composite as the number of students tested in schools with the four day week grew from just over 200 in the spring of 2007 to 2685 in the spring of 2013.    The total percentage of students identified as proficient and advanced was compared to state-wide averages disaggregated by cohort and in composite over the academic years of 2006-2007 through 2012-2013.    Findings indicate that student achievement may increase the first year of implementation of the four day week, but over time, student achievement decreases, compared to the rest of the students in the state of Montana.","[mass quarantine] duplicate of 3026","Initial Full Search",,
570,"Reeves, Cheryl L.","The four-day school calendar: A comparative study of student performance indicators in a Colorado school district","Because there was a gap in the literature about the nuances of a four-day school week, it was not known if there was a difference in performance indicators in a school calendar with Monday off compared to a school calendar with Friday off.  The purpose of this comparative descriptive study was to determine if there was a difference in achievement for a Colorado school district that changed the four-day calendar from Monday off to a Friday off in 2005.  This quantitative study provided a before and after baseline to determine if one scheduling approach affected attendance and student achievement over the choice of another.  Attendance data were available for the entire school district.  Student achievement data was available for third grade through tenth grade. The statistical test for attendance was a population proportion.  The statistical test for student achievement was a paired t test. The theoretical foundation was based on Marzano's model where  time was the most important factor for learning.  However, results of the current study indicated a decline in attendance and a statistically significant increase in student achievement.  The implication was that a community focus on learning could have been what affected achievement.","[mass quarantine] duplicate of 127","Initial Full Search",,
591,"Johnson, Chris","The four day school week: A case study examining three stages of implementation","The four day school week is one option rural schools are considering when trying to preserve financial stability in a time of restricted budgets. This case study examines a rural school in the Midwest in its first year of implementing the four day school week. Staff was interviewed through focus groups, building administrators through email, and the district administrator was interviewed one-on-one. The following question drives this research: How did a small school district install and implement a four day school week as it relates to school leadership, students, parents, and community? A subquestion that will be looked at is: Did the school look at the four day week calendar as a type of school reform or did they view it as just a calendar change? A qualitative case study design is used for this research study. Interviews and document collection drive the data collection. This study will use the stages of implementation from National Implementation Research Network (NIRN) for the conceptual framework. Using the stages of implementation as the guide to analyze the findings allows for attention to data pertinent to this study.","[mass quarantine] duplicate of 3063","Initial Full Search",,
597,"Farris, Brandon","The Four-Day School Week: Teacher Perceptions in a Rural/Secondary Setting","The purpose of the study was two-fold: (a) to explore teacher perceptions about the four- versus five-day school week in terms of its impact on teacher/student attendance, and student achievement; and (b) to examine whether or not differences have been evidenced in teacher/student attendance, student achievement within a single school district that previously employed a five-day school week and changed to a four-day school week. The researcher conducted a census during the fall of 2012, distributing a demographic survey to all 23 of the high school teachers teaching in the target high school in a small rural school district in the western United States which had adopted the four-day school week in 2005. The researcher interviewed eight of the high school teachers who met the inclusion criteria regarding experience with both the four- and five-day school schedule. The focus of the study was on the qualitative data, with aggregate quantitative data regarding student and teacher attendance and ISAT scores collected from the District through the State's Department of Education website, used to explicate the qualitative findings. The overall feeling among interviewees regarding attendance of both students and teachers was that it either improved permanently, improved temporarily, or there was no change. All eight interviewees felt that at worst there had been no change, or that student achievement improved with the move to the four-day school week schedule. The researcher also included teacher perceptions regarding other areas such as schedule transition, teacher morale, use of instructional time, teacher planning and collaboration, and professional development. The interviewees felt pleased with their school's transition to a four-day school week schedule and felt that teacher morale had improved with the change. It was perceived that the four-day week allowed for more quality instructional time, with more time to plan and coordinate lesson plans. While the quantitative data trends implied student achievement fluctuation more so than strong positive achievement gains, like the qualitative findings, negative or downward trends were not evidenced. These findings contribute to the overall empirical body of knowledge regarding the four-day school week schedule. [The dissertation citations contained here are published with the permission of ProQuest LLC. Further reproduction is prohibited without permission. Copies of dissertations may be obtained by Telephone (800) 1-800-521-0600. Web page: http://www.proquest.com/en-US/products/dissertations/individuals.shtml.]","duplicate of 13","Initial Full Search",,
601,"Cardinale, Nelly","Examining the transition to a four-day school week and investigating post-change faculty/staff work-life balance: A community college case study","This single descriptive embedded case study examined the process of implementing a four-day work/school week at a community college and investigated post-change faculty/staff work-life balance. All of the students attending this college live at home. The change was implemented due to state funding shortfalls, increasing college utility expenses and low employee morale. Additionally, this study resulted in a set of guidelines that can be used by change agents of similar colleges to implement this change. Moreover, the study describes the positive and negative aspects associated with the shorter work/school week. On a positive note, the schedule facilitates making personal appointments, volunteer work, improves work-life balance, provides longer more restful weekends, increases employee morale, productivity, performance, and reduces commuting expenses. On a negative note, the schedule requires employees to work longer days, increases daily work-related stress, reduces weekday family time and creates work/daycare schedule conflicts. Furthermore, the study found that faculty/staff work-life balance improved the most for employees ages 25-44. The study recommends that college leaders interested in implementing the same change create an alternative four-day work schedule for essential weekend employees in order to provide them similar work-life balance benefits. Most importantly, college leaders should work with human resources officials to create flexible working hours and telecommuting policies to implement along with this schedule. Finally, administrators should assure that employees do not work longer than nine hours per day to prevent burnout, work with employees to solve work/daycare schedule conflicts and that all college stakeholders participate in the change process.","duplicate of 26","Initial Full Search",,
602,"Carter, Gregory, Hull, Lisa Suzanne, Odneal, Becky, Roling, Tim","The school leader and policymaker's guide to a four-day school week: Considerations, implementation, tools, and best practice","This product development report addresses the components for an operations manual, which will serve as a guide for school districts pursuing or implementing a four-day school week. The product will provide school districts with a resource to address their needs, questions, and concerns around all aspects of the transition to a four-day school week, including policy, community relations, human resources, scheduling, finances, and student achievement.     Over the past five years, weakening economic conditions have wreaked havoc across the country in most industries. Missouri public school districts have not been spared the hardship, as decreases in property tax subsidies and state budget shortfalls create lasting deficiencies in funding. With the passage of four-day school week/alternative calendar legislation, this economic crisis has spurred school districts in Missouri and across the nation to investigate options for an alternative calendar or four-day school week in order to reduce spending.     The need for an operations manual surfaced as the team examined four-day school week research and during the interviews of state department leaders from many states expressing limited guidance existed for districts investigating or making the transition to a four-day school week. District leaders considering this change have been forced to conduct their own research and develop an implementation plan without any guidance. As more and more districts consider this option, it will be beneficial for them to have a guide with the resources needed to implement the four-day school week. The purpose of this study was to identify what school leaders and policymakers need to know when considering or implementing a four-day school week.     An expert panel, consisting of school leaders and state education officials knowledgeable in educational policy and in the research and practice of school district administration reviewed the operations manual as part of the pilot. Following the expert panel review, the manual was refined based on recommendations and submitted to another expert panel for field test feedback. A complete evaluation of the final field-test recommendations and revisions were incorporated into the manual.","duplicate of 23","Initial Full Search",,
618,"Cortes, Kalena E, Bricker, Jesse, Rohlfs, Chris","The Role of Specific Subjects in Education Production Functions: Evidence from Morning Classes in Chicago Public High Schools","Absences in Chicago Public High Schools are 4-7 days per year higher in first period than at other times of the day. This study exploits this empirical regularity and the essentially random variation between students in the ordering of classes over the day to measure how the returns to classroom learning vary by course subject, and how much attendance in one class spills over into learning in other subjects. We find that having a class in first period significantly reduces grades in that course but does not affect grades in related subjects. We also find that having math in first period reduces test scores in all subjects and reduces grades in future math classes. These effects are particularly large for black students. For classes other than math, we find little effect of having the class in first period on test scores or long-term grades. [PUBLICATION ABSTRACT]","duplicate of 613","Initial Full Search",,
625,"Zubrzycki, Jaclyn","School Schedule: ""Does Shortening the School Week Impact Student Performance? Evidence From the Four-Day School Week""","New research suggests that a four-day school week not only doesn't hurt student achievement but also seems to help.","[mass quarantine] duplicate of 108","Initial Full Search",,
660,"Moore, Deborah P","Saving Money","Moore discusses new ideas to reduce costs in schools and districts, including four-day school week and energy usage and efficiency. She says that four-day school week provides a savings by reducing transportation, heating, and staff cost. While energy usage and efficiency program empowered each school to make the changes they felt appropriate in order to achieve a minimum of 10% in energy savings during the first year, with an eye toward reaching a five-year goal of increasing energy efficiency by 40%.","duplicate of 134","Initial Full Search",,
661,"Griffith, Michael","What Savings Are Produced by Moving to a Four-Day School Week?","Due to the current economic downturn, policymakers have been looking for budgetary options that allow for reductions in expenditures without impacting student achievement. One cost-cutting policy that some states and districts have adopted is to keep instructional time the same but shorten the school week. A recent policy brief from the Education Commission of the States (ECS) found that approximately 120 districts in 17 states have made the move to a four-day school week. But the question still exists--what cost savings, if any, are produced? This report shows what savings a district might realistically expect to realize when moving to a four-day week. A bibliography is included.","duplicate of 2","Initial Full Search",,
668,"Okpala, Comfort O, Hopson, Linda, Okpala, Amon O","The Impact Of Current Economic Crisis On Community Colleges","The focus of the study was to examine the impact of the recession on (1) community college funding, (2) community college student support services, and (3) on student enrollment. This study relied on data from document analysis and interview of community college personnel and students. The current crisis has resulted in a steep budget reduction to community colleges in North Carolina. The participants in the interview indicated that the crisis has resulted in severe cuts in student support services especially in the area of counseling and advising. Students reported that they are experiencing cuts in course offerings and the switch by some colleges to a four-day work week has impacted their ability to balance work and school. Adapted from the source document.","[mass quarantine] duplicate of 3059","Initial Full Search",,
677,"Bell, Jeffrey L.","Can the 4-day school week work: An analysis of the impact of the 4-day school week on a rural Georgia school district","Due to budget cuts in 2009, a school district in a county located in the middle of a South Atlantic state changed from the traditional 5-day school to the 4-day school week. The purpose of this study was twofold: (a) to determine what the job satisfaction was for teachers and administrators whose schools had changed from the 5-day school week to the 4-day school week; (b) document a relationship between changing from the 5-day school week to the 4-day school and teacher, administrator, and student attendance. A total of 183 teachers and 11 administrators from the school district were surveyed using the Teacher Job Satisfaction Questionnaire (TJSQ) (Lester, 1982). The analysis of the data revealed that the job satisfaction of teachers and administrators was positive following the change from the 5-day school week to the 4-day school week. The analysis of the attendance data showed a decrease in the number of absences of teachers, administrators and students after changing from the 5-day school week to the 4-day day school week. This study could have implications for school districts with similar demographics.","duplicate of 30","Initial Full Search",,
679,"Dixon, Asenith","""Focus"" on the Alternative School Calendar: Year-Round School Programs and Update on the Four-Day School Week. Challenge to Lead","In recent years, lean economic conditions have led to state and local agency budget cuts, including reductions to elementary and secondary education. To compensate for less state funding and decreasing local revenues, many state legislatures have passed policy and funding bills that give school systems more latitude in making finance and program decisions. A key area where more flexibility is apparent is the scheduling of school calendars. One of the first responses to the downturn in the economy was to explore the four-day school week as a money-saving measure. Statutes in nearly half of the 16 SREB (Southern Regional Education Board) states now permit local school districts to adopt calendars where students attend school for longer but fewer days. With renewed focus at the state and federal level on reforming education and increasing student learning, state policy-makers also are looking for more creative ways to arrange the instructional school year. The concept of altering the traditional school calendar is not new, but few schools and districts across the country have embraced the idea. Those that have chosen alternative calendars typically have similar reasons, including raising student achievement, reducing the achievement gap among groups of students, saving money, and decreasing school overcrowding. In the SREB region, most schools and districts that operate on an alternative calendar use either a year-round school program or a four-day school week, although year-round schedules are more prevalent. Year-round school calendars reorganize minimum instructional time requirements across the school year; reduce the time students spend on summer vacation; and provide multiple opportunities for tutoring, remediation and enrichment throughout the school year. This ""Focus"" report provides an overview of year-round programs and examines the advantages and challenges that are inherent to most, if not all, of these programs. It also provides an update on actions relating to the four-day school week. Although only a small percentage of schools in the SREB region have year-round programs in operation, it is important for education leaders and legislators to explore whether this type of calendar contributes to stronger academic achievement results for students. (Contains 5 tables.)","duplicate of 18","Initial Full Search",,
684,"Hewitt, Paul M., Denny, George S.","The Four-Day School Week: Impact on Student Academic Performance","Although the four-day school week originated in 1936, it was not widely implemented until 1973 when there was a need to conserve energy and reduce operating costs. This study investigated how achievement tests scores of schools with a four-day school week compared with schools with a traditional five-day school week. The study focused on student performance in Colorado where 62 school districts operated a four-day school week. The results of the Colorado Student Assessment Program (CSAP) were utilized to examine student performance in reading, writing, and mathematics in grades 3 through 10. While the mean test scores for five-day week schools exceeded those of four-day week schools in 11 of the 12 test comparisons, the differences were slight, with only one area revealing a statistically significant difference. This study concludes that decisions to change to the four-day week should be for reasons other than student academic performance. (Contains 1 table.)","[mass quarantine] duplicate of 101","Initial Full Search",,
687,"Duchscherer, Brian","A case study: Transitioning from a five-day school week to a four-day school week","For over a century, most PK-12 schools across the United States have been using the same format of five days of school a week for approximately 9 months a year.  The discussion of a four-day school week is being considered as many school districts try to balance their budgets each school year.  Some schools in the past 30 years have begun changing to a four-day school week.  The four-day school week can create controversy within a community, concerns among parents and students, and benefits for the school district as well as for parents and students.  The researcher studied one rural school district transitioning from a five-day school week to a four-day school week.  The purpose of the study was to identify what made a rural school district decide to transition to a four-day school week, how the school district accomplished this new delivery of PK-12 education, and to identify perceptions regarding this transition.     The case study was completed with one rural Minnesota school district.  The researcher conducted on-site interviews with school administration and one school board member, and gathered school district data from the past three years to review and identify how the school district changed to a four-day school week.       The results from the data collected indicated the school district transitioned to a four-day school week because of financial reasons.  The school district did not want to reduce educational opportunities for students by eliminating class offerings or cutting teaching positions.  The data indicated, after experiencing the four-day school week, most students, parents, and teachers favored the new four-day school week compared to the previous five-day school week.  The main concerns identified by the participants and data reviewed were younger students adapting to the longer school day, extracurricular adjustments, upset classified personnel, how much money would the district save, and tired employees at the end of the four-day week.","[mass quarantine] duplicate of 3029","Initial Full Search",,
753,"Poe, Hannah, Craighead, Hank","Four-Day School Weeks?","A debate on a four-day school week is presented. Hannah Poe of North Carolina says that there would be a favorable effect of a four-day school week, reducing the pollution caused by buses while saving money for the schools. On the other hand, Hank Craighead of Louisiana says that school days should remain the way they are so children have more time to go outside to play.","[mass quarantine] duplicate of 131","Initial Full Search",,
767,"Domier, Paddy Sertich","Every second counts: School week and achievement","With decreasing enrollment, decreasing funding for public school education, changes in family and societal needs, and the mandates of the No Child Left Behind Act, policymakers and school leaders are wrestling with reforms to the school calendar and instructional time spent in the classroom, with the goal of increasing student achievement. Improving student achievement has been the focus of school reforms regarding time, including the 4-day school schedule, block scheduling, year-round schools, and expanded learning time. This study looked at schools in the state of Colorado that have participated in the 4-day school schedule during the school years 2005–2008 and found that there were no effects of the 4-day school schedule on 3rdgrade reading, writing, and math scores compared to those scores in comparably sized schools operating on a more traditional 5-day schedule. In addition, there is no relationship between 3rd-grade Colorado Student Assessment Program (CSAP) assessments for 3rd-grade students on a 4-day or 5-day schedule. According to the study, 3rd-grade students attending a 4-day school week scored better than or equal to the state CSAP percentage proficient and above for 2005–2008. Quantitative research methods were used, data were collected, and the analysis added research to the effects of time on achievement.","[mass quarantine] duplicate of 3053","Initial Full Search",,
775,"Abramson, Paul","Creative, Positive Responses to Tight Budgets","Abramson comments whether the four-day school week become a positive means in order to save fuel costs. The rising of fuel costs have forced school districts create a four-day week classes in school to increase their budgets for heating and transportation. He opines that such idea creates hardships on families that depend on the schools as safe havens for their children. On the other hand, he asserts that this tight budget mainly suffers education.","duplicate of 179","Initial Full Search",,
779,"Wolfe, Frank","4-day school week gains popularity as prices surge","More school districts nationally are considering shifting to a four-day school week to save money in a time of record-high fuel prices, but evidence remains sparse on how such a schedule affects student achievement and whether the cost savings are substantial. According to a new report by the Southern Regional Education Board titled Focus on the School Calendar: The Four-Day School Week, ""Discussions about implementing four-day school weeks--with students attending school more hours each day--are surfacing again because of general economic pressures in the states and the increased cost of diesel fuel for school buses,"" although savings may vary from district to district, and the move may not result in significant drops in expenditures. For instance, a 20 percent reduction in transportation and food service spending--an impossibility given bus maintenance and other fixed costs--would only result in a savings of 2 percent of districts' overall budgets, the report said. Nevertheless, school districts nationally are increasingly looking at shortened weeks as one of several strategies to fight high fuel costs, including consolidating school bus routes, reducing the number of field trips, and requiring students to walk further distances to school.","[mass quarantine] duplicate of 112","Initial Full Search",,
780,"Wolfe, Frank","More districts consider switching to 4-day school week","To save money in a time of record-high fuel prices, more school districts nationally are considering shifting to a four-day school week, but evidence remains sparse on how such a schedule affects student achievement and whether the cost savings are substantial. Discussions about implementing four-day school weeks--with students attending school more hours each day--are surfacing again because of general economic pressures in the states and the increased cost of diesel fuel for school buses, according to a new report by the Southern Regional Education Board titled Focus on the School Calendar: The Four-Day School Week. The discussion of four-day weeks comes as Congress considers expanded learning time initiatives such as the Time for Innovation Matters in Education Act, introduced earlier this month by Sen. Edward Kennedy, chairman of the Senate Health, Education, Labor and Pensions Committee.","[mass quarantine] duplicate of 111","Initial Full Search",,
798,"Leiseth, Barbara J.","A case study of the four-day school week: An alternative schedule for public schools","With the pressures of global competition and the adoption of the No Child Left Behind Act, many school districts across the United States are experimenting with alternative school calendars in an attempt to raise student achievement. This poses a dilemma for many school districts as they face societal pressures to increase student achievement with limited funding to do so. In an effort to improve, some schools have adopted a four-day school week schedule in hopes of saving money while improving classroom instruction and raising student achievement. This study gives insight to the impact of the change to a four-day school week schedule on students, teachers, and parents in a particular community through an illustrative case study. Both quantitative and qualitative research methods were used to gather data. Analysis of the data revealed mixed results for the four-day school week schedule. The perceptions of the responding groups pointed toward a positive and overall beneficial impact of the four-day school week. The research provides opportunities for further study and observations. This study could have implications for other school districts with similar demographics.","[mass quarantine] duplicate of 3064","Initial Full Search",,
808,"Beesley, Andrea D, Anderson, Carmon","The Four-Day School Week: Information and Recommendations",,"duplicate of 24","Initial Full Search",,
827,"Hale, Rebecca Rae Miller","A case study of the four -day school week in five South Dakota prekindergarten–12 public schools","The purpose of this study was to describe the processes followed in implementing a four-day week and the perceptions of stakeholders in five South Dakota school districts that have chosen to operate a four-day school week. Four-day school week school districts in South Dakota rose over the course of 11 years from one in 1995 to 16 in 2006; this generated interest.    Information was gathered and compared for the 16 school districts for the year preceding implementation and the 2005-2006 school years. Areas of interest included student enrollment, certified staff numbers, attendance, drop-out and graduation rates, discipline incidents, achievement, and transportation budgets.    Five school districts were selected for an in-depth study. The selection was based on the following criteria: the superintendent was present in that position at the time that the school district implemented their four-day school week schedule, the school districts were not in their first year of implementation, the school districts represented eastern and western areas of the state, the school districts represented districts with large and small student populations, and the chosen school districts represented districts with a range of areas (as measured in square miles).    The researcher conducted 60 on-site interviews of stakeholder groups including superintendents, principals, teachers, students, and parents to learn about their perceptions concerning the four-day week.    Processes followed in planning and implementing a four-day school week schedule varied among the school districts. The advantages most often mentioned by stakeholders were improvement of morale, achievement, attendance, more family time, and supplementary programs. The disadvantages most often mentioned by stakeholders were the intensity or length of the school day and child care on the non-attendance day (Friday).    Student enrollment, the number of certified staff members, and graduation rates decreased in the majority of the 16 four-day week school districts during the time of comparison. Attendance, achievement, drop-out rates, and transportation costs increased in the majority of the sixteen four-day school weeks for the same time frame.","[mass quarantine] duplicate of 3054","Initial Full Search",,
832,"Yarbrough, Rachel, Gilman, David Alan","From Five Days to Four","Facing financial difficulties, the Webster County Public School System in rural Kentucky implemented a four-day school week to save money on transportation and staffing. The district's research in the experience of other rural districts had indicated that such a calendar change could increase efficiency and also yield some unexpected benefits. Webster County's experience in the last two years under the new calendar has confirmed the viability of the four-day week. Student achievement has risen, and teachers feel that they are using planning and staff development time more profitably. Anticipated problems--such as student fatigue from the longer school day and parent problems with child-care issues--have not proven to be serious obstacles. (Contains 1 figure.)","duplicate of 109","Initial Full Search",,
840,"Campbell, Wedless","The shortened week is a poor fit for urban education","The four-day week does help teachers, giving them time for other duties. It also provides students with time they can use for enrichment, remedial help and work on their regular studies-not to mention less time on long rural school commutes and more of a chance to help around the house. But it's no coincidence that heightened interest in the four-day school week comes at a time of rising energy costs and cuts in education budgets; the driver for this movement, quite frankly, seems to be the dollars involved.","[mass quarantine] duplicate of 160","Initial Full Search",,
841,"Murrell-Speed, Donna L","History shows it's worth considering in some schools","[...] making the fifth day an extra compensated day would offer some relief to educators who stay after school for two or three extra hours per day in a regular five-day week to catch up on projects, paperwork, lesson plans, parent conferences and many other duties.  [...] the record for many districts that have made the switch-a record of community support, reduced dropout rates, declining discipline referrals and higher student test scores-shows the idea merits consideration.","[mass quarantine] duplicate of 133","Initial Full Search",,
848,"Rasenberger, Willy, Rasenberger, Jack","DEBATE of the Week: Four-day School Week?","A children's debate whether they agree on having a four-day school week is presented. Some people say that a four-day week reduces absences, improves behavior, and saves energy. Others say a four-day week inconveniences families.","[mass quarantine] duplicate of 128","Initial Full Search",,
864,"Szelag, Brittney, Alvarado, Andrew","Four-day school week?",,"duplicate of 119","Initial Full Search",,
871,"Telljohann, Susan K., Price, James H., Dake, Joseph A., Durgin, Joan","Access to School Health Services: Differences between Full-Time and Part-Time School Nurses","This study examined differences in student access to health services between schools with nurses 2 days/week (n = 7) compared to schools with nurses 5 days/week (n = 7). The study found statistically significant differences in numbers of nurse visits per 100 students. Of the 30 health conditions/activities investigated, 28 were statistically significantly higher with full-time school nurses than with part-time school nurses. It would be expected that 5-day/week nurses would be involved in health service activities 2.5 times as often as 2-day/week nurses. However, this study found that 21 of the 30 health service activities in schools with 5-day/week nurses were accessed by students more often than the expected 2.5 times that of the schools with nurses 2 days/week. This suggests a significant unmet need for access to health care services in schools with only 2-day/week nurses. (Contains 3 tables and 1 figure.)","[mass quarantine] duplicate of 3018","Initial Full Search",,
883,"Fagergren, Peter J.","The Four-Day School Week: An Examination of Long-Term Student Achievement at the Middle and Secondary Levels","Academic achievement under a four-day school week is compared to the traditional five-day school week. Test scores from the CAT [California Achievement Test], ITBS [Iowa Test of Basic Skills], TASK [Stanford Test of Academic Skills], SAT [Stanford Achievement Test], TAP [Tests of Academic Proficiency], and MAT [Metropolitan Achievement Test] were analyzed for a fifteen year period: the five years before the four-day school week, five years on the four-day school week, and then the five-years immediately off the four-day school week. Adequate Yearly Progress (AYP) was measured in grades eight, eleven, and twelve in reading, mathematics, and language subject areas. The data support the interpretation that the majority of students made AYP across the fifteen year period, with no detrimental effects to standardized test score results.","duplicate of 14","Initial Full Search",,
885,"Chmelynski, Carol","Four-day school weeks? Only if they fit","School districts in Arizona, Arkansas, Colorado, Louisiana, New Mexico, Oregon, South Dakota, and Wyoming have switched to a four-day week--most of them small, rural districts. As many as 100 districts situated across the nation have adopted a shorter length for their school week, mainly in order to cut costs, improve attendance, allow children to be able to work on their family farms, and give teachers more time with students.","[mass quarantine] duplicate of 159","Initial Full Search",,
889,Anonymous,"Four-day school week?","About 100 school districts in several states have shortened their school week. Students and teachers in these states have Mondays or Fridays off, but they must attend an extra hour or more on the four days they are in school.","duplicate of 175","Initial Full Search",,
890,"Richard, Alan","Rural schools see dividends in four-day week","Rural districts in many places--but especially in sparsely populated areas west of the Mississippi--have made four-day weeks a way of life. Many switched their schedules as a way to save money, trying to keep rural schools open while enrollments drop and job opportunities lag in some places.","[mass quarantine] duplicate of 125","Initial Full Search",,
